"","name","city","latitude","longitude","avg_distance"
"1","Alabama","Montgomery",32.377716,-86.300568,1659.88614326037
"2","Alaska","Juneau",58.301598,-134.420212,3771.70018504267
"3","Arizona","Phoenix",33.448143,-112.096962,2354.36906750193
"4","Arkansas","Little Rock",34.746613,-92.288986,1521.92293910269
"5","California","Sacramento",38.576668,-121.493629,2765.59895428302
"6","Colorado","Denver",39.739227,-104.984856,1771.3549087412
"7","Connecticut","Hartford<br>",41.764046,-72.682198,1918.00570629602
"8","Delaware","Dover",39.157307,-75.519722,1766.73994762105
"9","Hawaii","Honolulu",21.307442,-157.857376,6538.39676527995
"10","Florida","Tallahassee",30.438118,-84.281296,1841.57996851336
"11","Georgia","Atlanta",33.749027,-84.388229,1612.97481270296
"12","Idaho","Boise",43.617775,-116.199722,2357.24383811466
"13","Illinois","Springfield",39.798363,-89.654961,1382.77566373482
"14","Indiana","Indianapolis",39.768623,-86.162643,1404.04429088763
"15","Iowa","Des Moines",41.591087,-93.603729,1425.16353340998
"16","Kansas","Topeka",39.048191,-95.677956,1456.7425803934
"17","Kentucky","Frankfort",38.186722,-84.875374,1436.34077197635
"18","Louisiana","Baton Rouge",30.457069,-91.187393,1774.7351227074
"19","Maine","Augusta",44.307167,-69.781693,2152.55362241463
"20","Maryland","Annapolis",38.978764,-76.490936,1717.4677356595
"21","Massachusetts","Boston",42.358162,-71.063698,2027.61140059857
"22","Michigan","Lansing",42.733635,-84.555328,1479.39402629437
"23","Minnesota","St. Paul",44.955097,-93.102211,1523.65590864663
"24","Mississippi","Jackson",32.303848,-90.182106,1640.7521154926
"25","Missouri","Jefferson City",38.579201,-92.172935,1404.22373021022
"26","Montana","Helena",46.585709,-112.018417,2183.6822707673
"27","Nebraska","Lincoln",40.808075,-96.699654,1476.54551088602
"28","Nevada","Carson City",39.163914,-119.766121,2628.94031847404
"29","New Hampshire","Concord",43.206898,-71.537994,2007.45711426662
"30","New Jersey","Trenton",40.220596,-74.769913,1796.75464041047
"31","New Mexico","Santa Fe",35.68224,-105.939728,1921.96892027363
"32","North Carolina","Raleigh",35.78043,-78.639099,1715.8747752453
"33","North Dakota","Bismarck",46.82085,-100.783318,1753.24614367341
"34","New York","Albany",42.652843,-73.757874,1865.81003427174
"35","Ohio","Columbus",39.961346,-82.999069,1466.00830871972
"36","Oklahoma","Oklahoma City",35.492207,-97.503342,1599.0578584068
"37","Oregon","Salem",44.938461,-123.030403,2797.01058586009
"38","Pennsylvania","Harrisburg",40.264378,-76.883598,1686.90592313671
"39","Rhode Island","Providence",41.830914,-71.414963,2001.03638279917
"40","South Carolina","Columbia",34.000343,-81.033211,1704.1182651453
"41","South Dakota","Pierre",44.367031,-100.346405,1643.7590276056
"42","Tennessee","Nashville",36.16581,-86.784241,1461.46334381283
"43","Texas","Austin",30.27467,-97.740349,1903.10944438298
"44","Utah","Salt Lake City",40.777477,-111.888237,2113.03953028564
"45","Vermont","Montpelier",44.262436,-72.580536,1973.21983351391
"46","Virginia","Richmond",37.538857,-77.43364,1706.43710745463
"47","Washington","Olympia",47.035805,-122.905014,2809.31103025419
"48","West Virginia","Charleston",38.336246,-81.612328,1518.00350867374
"49","Wisconsin","Madison",43.074684,-89.384445,1438.23403133881
"50","Wyoming","Cheyenne",41.140259,-104.820236,1757.21556729217
